,precision,recall,f1-score,support
Angry,0.92,0.7666666666666667,0.8363636363636363,30.0
Disgust,0.8823529411764706,1.0,0.9375,30.0
Fear,0.9285714285714286,0.8666666666666667,0.896551724137931,30.0
Happy,0.9375,1.0,0.967741935483871,30.0
Neutral,1.0,0.9,0.9473684210526315,30.0
Sad,0.8571428571428571,0.9375,0.8955223880597015,32.0
Surprise,0.9354838709677419,0.9666666666666667,0.9508196721311475,30.0
accuracy,0.9198113207547169,0.9198113207547169,0.9198113207547169,0.9198113207547169
macro avg,0.9230072996940711,0.9196428571428571,0.9188382538898455,212.0
weighted avg,0.9223859370284936,0.9198113207547169,0.9186182928914479,212.0
